,alpha,gamma,b,loc,scale
188,0.8999999999999999,2.4000000000000004,1.5009988831016177,0.0014830217252385434,0.005304394387294551
189,0.8999999999999999,2.5,0.24453327684553144,0.00023955568840770922,0.00873052870225666
190,0.8999999999999999,2.6,0.18342720874688018,0.0019804483095399537,0.0023744267988596622
191,0.8999999999999999,2.7,1.8064888246564013,-0.003899186429495641,1.0874553781422587
192,0.8999999999999999,2.8000000000000003,1.435341649241126,1.4137320743720587e-05,0.999991770344032
193,0.8999999999999999,2.9000000000000004,0.2022291909873335,0.0038979239515629337,0.0035221797207456978
194,0.8999999999999999,3.0,0.23563326998400932,-0.00039264953850936895,0.008675595527719442
195,0.8999999999999999,3.1,0.16120518978204068,0.000481303440764508,0.0011430473710325071
196,0.8999999999999999,3.2,0.23581138710146726,0.0011844813014330775,0.00828190987583613
197,0.8999999999999999,3.3000000000000003,0.1685726648981366,0.004933517438360726,0.0009686988969018582
198,0.8999999999999999,3.4000000000000004,0.26921837876561006,-0.015835690829988876,0.017181733570834246
199,0.8999999999999999,3.5,81467.7606616242,-88374.87215441358,88375.88329121863
200,0.8999999999999999,3.6,0.2844757761077572,0.00042260414256226574,0.0176442101865954
201,0.8999999999999999,3.7,0.2947436716776623,0.004206583379415488,0.021524779182158213
202,0.8999999999999999,3.8000000000000003,0.21914726369987597,0.002442075551376882,0.005077999876066061
203,0.8999999999999999,3.9000000000000004,0.23726584155571084,0.0003809178837779711,0.007869463694435527
204,0.8999999999999999,4.0,1.2285875720499133,0.0019123497179854296,0.00311162556412421
205,0.9999999999999999,0.0,0.20823080395796817,0.0004982592809892503,0.005340694464900055
206,0.9999999999999999,0.1,0.22467656471135555,0.000416828301041668,0.006601653454971029
207,0.9999999999999999,0.2,1.314938526199154,0.001811748105675103,0.8896626139052047
208,0.9999999999999999,0.30000000000000004,0.2734449547152874,0.0004218386798173616,0.015341345134134737
209,0.9999999999999999,0.4,0.27241845731023695,0.0010465045413356518,0.01557604599429754
210,0.9999999999999999,0.5,1.2327239171059694,0.0023096974178833064,0.0019134136276010602
211,0.9999999999999999,0.6000000000000001,0.1872732071549985,0.00038613505574553234,0.002925507475012183
212,0.9999999999999999,0.7000000000000001,1.4634621358696975,0.00020696414874249878,1.053967331630994
213,0.9999999999999999,0.8,0.23434569395308597,-0.0035490044637532187,0.008244162821987585
214,0.9999999999999999,0.9,0.23214445510745219,0.001963266706957817,0.008104189838083536
215,0.9999999999999999,1.0,31.70600831980584,-9.736858859841767,8.951223614436158
216,0.9999999999999999,1.1,0.6272264617069947,0.00759536246065985,0.0012061345142897221
217,0.9999999999999999,1.2000000000000002,0.28036319731599213,0.00046996474720414937,0.015533749706575273
